platform_code,platform_type,time,latitude,longitude,sst,slp,lon360
,,UTC,degrees_north,degrees_east,Deg C,hPa,degree_east
6203641,DRIFTING BUOYS (GENERIC),2021-03-03T18:00:00Z,44.6818,-2.5441,13.09,1027.1,357.4559
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T04:00:00Z,44.714,-2.5826,12.8,1023.9,357.4174
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T05:00:00Z,44.7173,-2.5839,12.79,1023.5,357.4161
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T06:00:00Z,44.7195,-2.5873,12.77,1023.4,357.4127
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T07:00:00Z,44.7201,-2.5915,12.77,1023.2,357.4085
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T08:00:00Z,44.72,-2.5981,12.76,1023.3,357.4019
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T09:00:00Z,44.72,-2.606,12.77,1023.3,357.394
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T10:00:00Z,44.7197,-2.616,12.79,1023.2,357.384
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T11:00:00Z,44.7204,-2.6285,12.79,1023.2,357.3715
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T12:00:00Z,44.7231,-2.6422,12.81,1023.2,357.3578
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T13:00:00Z,44.7294,-2.6556,12.89,1022.6,357.3444
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T14:00:00Z,44.7362,-2.6682,12.94,1021.7,357.3318
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T15:00:00Z,44.7423,-2.6779,12.93,1021.2,357.3221
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T16:00:00Z,44.7471,-2.6862,12.91,1020.7,357.3138
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T17:00:00Z,44.7512,-2.6939,12.9,1020.2,357.3061
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T18:00:00Z,44.7542,-2.7019,12.84,1020.2,357.2981
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T19:00:00Z,44.7563,-2.7112,12.8,1020.3,357.2888
6203641,DRIFTING BUOYS (GENERIC),2021-03-04T20:00:00Z,44.7584,-2.723,12.78,1020.6,357.277
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T00:00:00Z,44.7719,-2.7905,12.72,1021.0,357.2095
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T01:00:00Z,44.7774,-2.8082,12.7,1021.0,357.1918
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T02:00:00Z,44.7835,-2.8232,12.68,1021.1,357.1768
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T03:00:00Z,44.7902,-2.8376,12.66,1020.8,357.1624
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T04:00:00Z,44.7976,-2.8491,12.65,1020.6,357.1509
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T05:00:00Z,44.8038,-2.8612,12.65,1020.6,357.1388
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T06:00:00Z,44.8099,-2.8741,12.63,1020.9,357.1259
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T07:00:00Z,44.8165,-2.8873,12.62,1021.0,357.1127
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T08:00:00Z,44.823,-2.8989,12.63,1021.6,357.1011
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T09:00:00Z,44.8292,-2.9111,12.63,1022.2,357.0889
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T10:00:00Z,44.8344,-2.9233,12.63,1022.5,357.0767
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T11:00:00Z,44.8398,-2.9348,12.64,1022.8,357.0652
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T12:00:00Z,44.8441,-2.9465,12.64,1023.2,357.0535
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T13:00:00Z,44.8482,-2.9579,12.66,1023.3,357.0421
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T14:00:00Z,44.8522,-2.9705,12.66,1023.2,357.0295
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T15:00:00Z,44.856,-2.9827,12.67,1023.3,357.0173
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T16:00:00Z,44.8604,-2.9952,12.66,1023.5,357.0048
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T17:00:00Z,44.8662,-3.0077,12.65,1023.5,356.9923
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T18:00:00Z,44.8727,-3.0205,12.64,1023.8,356.9795
6203641,DRIFTING BUOYS (GENERIC),2021-03-05T19:00:00Z,44.8796,-3.0326,12.64,1024.7,356.9674
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T00:00:00Z,44.9129,-3.0754,12.63,1025.9,356.9246
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T01:00:00Z,44.9191,-3.0816,12.64,1026.0,356.9184
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T02:00:00Z,44.9249,-3.0861,12.64,1026.0,356.9139
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T03:00:00Z,44.9296,-3.0897,12.63,1025.5,356.9103
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T04:00:00Z,44.9339,-3.0932,12.63,1025.3,356.9068
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T05:00:00Z,44.938,-3.0975,12.62,1025.7,356.9025
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T06:00:00Z,44.9419,-3.1037,12.61,1025.7,356.8963
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T07:00:00Z,44.946,-3.1096,12.61,1025.8,356.8904
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T08:00:00Z,44.9514,-3.1144,12.61,1026.1,356.8856
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T10:00:00Z,44.9632,-3.1228,12.6,1026.5,356.8772
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T11:00:00Z,44.9689,-3.1274,12.6,1026.8,356.8726
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T12:00:00Z,44.9745,-3.1314,12.6,1026.7,356.8686
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T13:00:00Z,44.9804,-3.1356,12.61,1026.2,356.8644
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T14:00:00Z,44.9859,-3.1392,12.64,1025.5,356.8608
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T15:00:00Z,44.9907,-3.141,12.64,1025.3,356.859
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T16:00:00Z,44.9946,-3.1418,12.63,1025.2,356.8582
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T17:00:00Z,44.9978,-3.1435,12.62,1025.1,356.8565
6203641,DRIFTING BUOYS (GENERIC),2021-03-06T18:00:00Z,45.0015,-3.147,12.61,1025.1,356.853
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T00:00:00Z,45.0377,-3.1565,12.59,1024.5,356.8435
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T01:00:00Z,45.0417,-3.1557,12.57,1024.2,356.8443
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T02:00:00Z,45.0449,-3.1547,12.57,1023.9,356.8453
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T03:00:00Z,45.0477,-3.1541,12.56,1023.3,356.8459
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T04:00:00Z,45.0514,-3.1528,12.57,1022.9,356.8472
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T05:00:00Z,45.0552,-3.1507,12.56,1022.8,356.8493
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T06:00:00Z,45.0583,-3.1491,12.56,1022.8,356.8509
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T07:00:00Z,45.0606,-3.1482,12.56,1022.6,356.8518
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T08:00:00Z,45.0631,-3.1487,12.55,1022.7,356.8513
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T09:00:00Z,45.0664,-3.1495,12.55,1022.7,356.8505
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T10:00:00Z,45.0703,-3.1494,12.55,1022.3,356.8506
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T11:00:00Z,45.0748,-3.1481,12.56,1021.9,356.8519
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T12:00:00Z,45.0787,-3.1469,12.57,1021.5,356.8531
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T13:00:00Z,45.0827,-3.1471,12.61,1021.3,356.8529
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T14:00:00Z,45.0871,-3.1475,12.63,1020.7,356.8525
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T15:00:00Z,45.0918,-3.1462,12.67,1020.4,356.8538
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T16:00:00Z,45.0964,-3.1426,12.63,1020.3,356.8574
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T17:00:00Z,45.0995,-3.1383,12.57,1020.4,356.8617
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T18:00:00Z,45.1014,-3.1355,12.55,1020.7,356.8645
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T19:00:00Z,45.1037,-3.1343,12.56,1021.0,356.8657
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T20:00:00Z,45.1059,-3.1337,12.54,1021.1,356.8663
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T21:00:00Z,45.1084,-3.1324,12.54,1021.0,356.8676
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T22:00:00Z,45.1106,-3.1318,12.53,1021.0,356.8682
6203641,DRIFTING BUOYS (GENERIC),2021-03-07T23:00:00Z,45.1137,-3.1309,12.53,1021.0,356.8691
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T00:00:00Z,45.1183,-3.1299,12.53,1020.7,356.8701
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T01:00:00Z,45.1225,-3.1274,12.52,1020.5,356.8726
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T02:00:00Z,45.1256,-3.1247,12.51,1020.3,356.8753
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T03:00:00Z,45.1278,-3.1235,12.51,1019.9,356.8765
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T04:00:00Z,45.1308,-3.1236,12.51,1019.8,356.8764
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T05:00:00Z,45.133,-3.1229,12.5,1019.9,356.8771
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T06:00:00Z,45.1355,-3.1216,12.49,1020.2,356.8784
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T07:00:00Z,45.1369,-3.1194,12.5,1020.4,356.8806
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T08:00:00Z,45.138,-3.1172,12.5,1020.8,356.8828
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T09:00:00Z,45.1388,-3.1155,12.5,1021.2,356.8845
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T10:00:00Z,45.1402,-3.1147,12.5,1021.5,356.8853
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T19:00:00Z,45.1568,-3.1191,12.5,1022.4,356.8809
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T20:00:00Z,45.1575,-3.1174,12.5,1022.9,356.8826
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T21:00:00Z,45.1582,-3.1152,12.49,1023.2,356.8848
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T22:00:00Z,45.1592,-3.1123,12.49,1023.3,356.8877
6203641,DRIFTING BUOYS (GENERIC),2021-03-08T23:00:00Z,45.1595,-3.11,12.48,1023.4,356.89
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T00:00:00Z,45.1594,-3.1091,12.47,1023.4,356.8909
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T01:00:00Z,45.1608,-3.1077,12.48,1023.1,356.8923
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T02:00:00Z,45.1626,-3.1058,12.46,1022.9,356.8942
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T03:00:00Z,45.164,-3.104,12.46,1022.6,356.896
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T04:00:00Z,45.1645,-3.1035,12.47,1022.5,356.8965
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T05:00:00Z,45.1643,-3.1046,12.46,1022.4,356.8954
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T06:00:00Z,45.164,-3.1054,12.45,1022.8,356.8946
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T07:00:00Z,45.1644,-3.1051,12.47,1022.8,356.8949
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T08:00:00Z,45.1648,-3.1039,12.46,1022.9,356.8961
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T09:00:00Z,45.1653,-3.1014,12.47,1024.0,356.8986
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T10:00:00Z,45.1658,-3.0988,12.47,1024.4,356.9012
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T11:00:00Z,45.1662,-3.0959,12.47,1024.4,356.9041
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T12:00:00Z,45.1661,-3.0933,12.5,1023.9,356.9067
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T13:00:00Z,45.1663,-3.092,12.56,1023.5,356.908
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T14:00:00Z,45.1667,-3.0921,12.71,1022.8,356.9079
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T15:00:00Z,45.1673,-3.0932,12.74,1022.4,356.9068
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T16:00:00Z,45.1678,-3.0952,12.69,1022.6,356.9048
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T17:00:00Z,45.1679,-3.0978,12.66,1022.7,356.9022
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T18:00:00Z,45.1677,-3.1,12.67,1022.8,356.9
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T19:00:00Z,45.168,-3.0999,12.64,1023.3,356.9001
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T20:00:00Z,45.168,-3.0982,12.64,1023.7,356.9018
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T21:00:00Z,45.168,-3.0958,12.62,1023.5,356.9042
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T22:00:00Z,45.1685,-3.0925,12.57,1023.0,356.9075
6203641,DRIFTING BUOYS (GENERIC),2021-03-09T23:00:00Z,45.1695,-3.0878,12.54,1023.2,356.9122
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T00:00:00Z,45.1705,-3.0832,12.51,1022.9,356.9168
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T01:00:00Z,45.1717,-3.0788,12.49,1022.4,356.9212
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T02:00:00Z,45.1732,-3.0748,12.5,1022.0,356.9252
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T03:00:00Z,45.1746,-3.0718,12.48,1021.3,356.9282
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T04:00:00Z,45.1749,-3.0727,12.48,1021.1,356.9273
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T05:00:00Z,45.1749,-3.0744,12.47,1021.1,356.9256
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T06:00:00Z,45.1753,-3.077,12.46,1021.4,356.923
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T07:00:00Z,45.1756,-3.0792,12.46,1021.5,356.9208
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T08:00:00Z,45.1765,-3.081,12.46,1021.7,356.919
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T09:00:00Z,45.1772,-3.0808,12.46,1021.8,356.9192
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T10:00:00Z,45.1778,-3.0789,12.48,1021.7,356.9211
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T11:00:00Z,45.1792,-3.0764,12.48,1021.5,356.9236
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T12:00:00Z,45.1805,-3.0734,12.49,1021.0,356.9266
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T13:00:00Z,45.1815,-3.0696,12.49,1020.5,356.9304
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T14:00:00Z,45.1827,-3.0658,12.5,1019.5,356.9342
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T14:59:00Z,45.1838,-3.0628,12.49,1018.5,356.9372
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T15:00:00Z,45.1838,-3.0628,12.49,1019.0,356.9372
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T16:58:00Z,45.1833,-3.06,12.47,1018.5,356.94
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T17:00:00Z,45.1833,-3.06,12.48,1018.3,356.94
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T19:00:00Z,45.1807,-3.0607,12.47,1018.7,356.9393
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T20:00:00Z,45.18,-3.0589,12.47,1018.9,356.9411
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T21:00:00Z,45.1797,-3.056,12.48,1018.7,356.944
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T22:00:00Z,45.1798,-3.0511,12.48,1018.6,356.9489
6203641,DRIFTING BUOYS (GENERIC),2021-03-10T23:00:00Z,45.1798,-3.0446,12.48,1018.0,356.9554
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T00:00:00Z,45.1793,-3.0365,12.48,1017.5,356.9635
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T01:00:00Z,45.1777,-3.0294,12.48,1017.2,356.9706
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T02:00:00Z,45.1754,-3.0232,12.48,1016.8,356.9768
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T03:00:00Z,45.1727,-3.0178,12.48,1016.7,356.9822
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T04:00:00Z,45.1683,-3.0137,12.48,1016.5,356.9863
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T05:00:00Z,45.1634,-3.0133,12.48,1016.7,356.9867
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T06:00:00Z,45.1597,-3.0145,12.48,1016.7,356.9855
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T07:00:00Z,45.1567,-3.0159,12.48,1016.7,356.9841
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T08:00:00Z,45.154,-3.0164,12.48,1017.3,356.9836
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T09:00:00Z,45.1522,-3.0146,12.48,1018.3,356.9854
6203641,DRIFTING BUOYS (GENERIC),2021-03-11T10:00:00Z,45.1512,-3.0114,12.49,1018.5,356.9886
